date_added,symbol,bucket,setup,regime,conf,entry,target_1,stop_loss,status,exit_date,exit_price,r_multiple,days_held,note
2026-07-16,PAISALO.NS,C,OTHER,SIDEWAYS,45.4,73.78,77.47,71.57,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-16,SONACOMS.NS,C,OTHER,SIDEWAYS,79.9,683.40,717.57,662.90,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-16,IBULLSLTD.NS,C,OTHER,SIDEWAYS,74.2,30.09,31.59,29.19,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-17,WELENT.NS,C,OTHER,TRANSITION,76.6,626.30,657.62,607.51,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,RELTD.NS,C,OTHER,TRANSITION,66.0,177.56,186.44,172.23,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,PNCINFRA.NS,C,OTHER,TRANSITION,61.5,245.27,257.53,237.91,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,CHENNPETRO.NS,C,OTHER,TRANSITION,69.7,1200.60,1260.63,1164.58,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,KAMDHENU.NS,C,OTHER,TRANSITION,59.2,33.54,35.22,32.53,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,POONAWALLA.NS,C,OTHER,TRANSITION,67.0,477.30,501.17,462.98,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-17,POLYPLEX.NS,C,OTHER,TRANSITION,76.2,1077.55,1131.43,1045.22,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(TRANSITION/OTHER
2026-07-20,ANANTRAJ.NS,C,OTHER,SIDEWAYS,36.3,600.80,630.84,582.78,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,INDOBORAX.NS,C,OTHER,SIDEWAYS,68.1,481.05,505.10,466.62,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,NEOGEN.NS,C,OTHER,SIDEWAYS,71.2,2182.60,2291.73,2117.12,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,SUDARSCHEM.NS,C,OTHER,SIDEWAYS,71.4,1054.65,1107.38,1023.01,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,SANSERA.NS,C,OTHER,SIDEWAYS,71.8,3335.20,3501.96,3235.14,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,GCSL.NS,C,OTHER,SIDEWAYS,73.5,519.40,545.37,503.82,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,OMAXE.NS,C,OTHER,SIDEWAYS,57.5,92.57,97.20,89.79,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,AMAGI.NS,C,OTHER,SIDEWAYS,70.5,593.20,622.86,575.40,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,ZYDUSWELL.NS,C,OTHER,SIDEWAYS,76.6,602.50,632.62,584.42,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,TPLPLASTEH.NS,C,OTHER,SIDEWAYS,70.6,82.93,87.08,80.44,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,MIRZAINT.NS,C,OTHER,SIDEWAYS,70.0,38.12,40.03,36.98,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
2026-07-20,STYL.NS,C,OTHER,SIDEWAYS,70.7,373.95,392.65,362.73,PENDING,,,,,skip:REGIME_CHOP_NO_BREAKOUT(SIDEWAYS/OTHER)
